"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Nível","Cód.","Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Ano"
"MU","1200393","Porto Walter (AC)","112710.947","112155.821"
"MU","1200401","Rio Branco (AC)","8153153.066","8940823.180"
"MU","1200427","Rodrigues Alves (AC)","185008.451","184545.289"
"MU","1200435","Santa Rosa do Purus (AC)","71271.205","71467.473"
"MU","1200450","Senador Guiomard (AC)","359782.439","373185.440"
"MU","1200500","Sena Madureira (AC)","500511.854","518416.142"
"MU","1200609","Tarauacá (AC)","470854.008","488825.264"
"MU","1200708","Xapuri (AC)","231302.176","239113.599"
"MU","1200807","Porto Acre (AC)","229926.373","233715.568"
"MU","1300029","Alvarães (AM)","159082.538","169815.852"
"MU","1300060","Amaturá (AM)","80804.563","83090.723"
"MU","1300086","Anamã (AM)","108163.032","116341.249"
"MU","1300102","Anori (AM)","192983.715","218252.919"
"MU","1300144","Apuí (AM)","193492.492","210011.629"
"MU","1300201","Atalaia do Norte (AM)","141204.945","142480.541"
"MU","1300300","Autazes (AM)","328192.709","357097.657"
"MU","1300409","Barcelos (AM)","160671.848","168178.015"
"MU","1300508","Barreirinha (AM)","239721.442","258823.051"
"MU","1300607","Benjamin Constant (AM)","280085.703","308681.678"
"MU","1300631","Beruri (AM)","141497.855","151535.222"
"MU","1300680","Boa Vista do Ramos (AM)","125738.885","139703.365"
"MU","1300706","Boca do Acre (AM)","365382.734","416147.965"
"MU","1300805","Borba (AM)","296370.600","303713.733"
"MU","1300839","Caapiranga (AM)","142345.571","156312.301"
"MU","1300904","Canutama (AM)","103082.448","107613.012"
"MU","1301001","Carauari (AM)","286003.058","306340.174"
"MU","1301100","Careiro (AM)","272854.113","314585.070"
"MU","1301159","Careiro da Várzea (AM)","313356.310","337265.754"
"MU","1301209","Coari (AM)","1322937.213","2015915.527"
"MU","1301308","Codajás (AM)","464272.954","500695.476"
"MU","1301407","Eirunepé (AM)","434005.992","517544.371"
"MU","1301506","Envira (AM)","148765.618","157496.218"
"MU","1301605","Fonte Boa (AM)","167593.138","180920.357"
"MU","1301654","Guajará (AM)","115994.510","123592.260"
"MU","1301704","Humaitá (AM)","556079.079","622149.166"
"MU","1301803","Ipixuna (AM)","139915.804","152286.365"
"MU","1301852","Iranduba (AM)","697064.390","679140.059"
"MU","1301902","Itacoatiara (AM)","1979493.386","1881003.522"
"MU","1301951","Itamarati (AM)","93869.193","95164.415"
"MU","1302009","Itapiranga (AM)","107712.765","109917.313"
"MU","1302108","Japurá (AM)","61997.462","62832.316"
"MU","1302207","Juruá (AM)","99877.356","103844.459"
"MU","1302306","Jutaí (AM)","218569.032","224217.864"
"MU","1302405","Lábrea (AM)","495747.107","495068.118"
"MU","1302504","Manacapuru (AM)","1526356.939","1428129.610"
"MU","1302553","Manaquiri (AM)","236248.154","275153.451"
"MU","1302603","Manaus (AM)","73225448.957","78192321.274"
"MU","1302702","Manicoré (AM)","495881.468","528955.292"
"MU","1302801","Maraã (AM)","153885.072","128443.500"
"MU","1302900","Maués (AM)","459062.845","501298.778"
"MU","1303007","Nhamundá (AM)","142266.628","151529.172"
"MU","1303106","Nova Olinda do Norte (AM)","234351.277","246711.721"
"MU","1303205","Novo Airão (AM)","131745.351","136020.432"
"MU","1303304","Novo Aripuanã (AM)","183333.826","199377.509"
"MU","1303403","Parintins (AM)","1092154.778","1119340.522"
"MU","1303502","Pauini (AM)","150838.409","156936.606"
"MU","1303536","Presidente Figueiredo (AM)","445555.007","822428.929"
"MU","1303569","Rio Preto da Eva (AM)","384151.957","383424.847"
"MU","1303601","Santa Isabel do Rio Negro (AM)","122726.470","137547.989"
"MU","1303700","Santo Antônio do Içá (AM)","172832.691","181267.773"
"MU","1303809","São Gabriel da Cachoeira (AM)","314681.529","329147.158"
"MU","1303908","São Paulo de Olivença (AM)","235478.492","251093.910"
"MU","1303957","São Sebastião do Uatumã (AM)","101297.216","117169.781"
"MU","1304005","Silves (AM)","96376.358","101398.720"
"MU","1304062","Tabatinga (AM)","463248.104","533610.703"
"MU","1304104","Tapauá (AM)","338883.631","247513.435"
"MU","1304203","Tefé (AM)","746603.384","934210.623"
"MU","1304237","Tonantins (AM)","123846.885","133833.348"
"MU","1304260","Uarini (AM)","186573.975","187766.213"
"MU","1304302","Urucará (AM)","298330.996","330475.300"
"MU","1304401","Urucurituba (AM)","143100.960","166350.755"
"MU","1400027","Amajari (RR)","163113.003","169684.807"
"MU","1400050","Alto Alegre (RR)","276115.178","280114.658"
"MU","1400100","Boa Vista (RR)","8947813.492","10042255.412"
"MU","1400159","Bonfim (RR)","266844.211","281340.130"
"MU","1400175","Cantá (RR)","247658.414","268478.991"
"MU","1400209","Caracaraí (RR)","347759.297","347037.868"
"MU","1400233","Caroebe (RR)","162996.212","178391.393"
"MU","1400282","Iracema (RR)","150906.053","159894.100"
"MU","1400308","Mucajaí (RR)","299920.214","309567.417"
"MU","1400407","Normandia (RR)","148455.206","153494.485"
"MU","1400456","Pacaraima (RR)","171778.360","204456.999"
"MU","1400472","Rorainópolis (RR)","530589.756","547424.928"
"MU","1400506","São João da Baliza (RR)","155127.242","177730.368"
"MU","1400605","São Luiz (RR)","119130.318","139073.011"
"MU","1400704","Uiramutã (RR)","116502.191","111043.156"
"MU","1500107","Abaetetuba (PA)","1337352.842","1413837.872"
"MU","1500131","Abel Figueiredo (PA)","80633.033","82210.098"
"MU","1500206","Acará (PA)","932174.739","914142.178"
"MU","1500305","Afuá (PA)","358270.997","357844.070"
"MU","1500347","Água Azul do Norte (PA)","443365.387","423046.877"
"MU","1500404","Alenquer (PA)","609254.698","566773.028"
"MU","1500503","Almeirim (PA)","666123.183","591584.898"
"MU","1500602","Altamira (PA)","2501059.781","2722306.914"
"MU","1500701","Anajás (PA)","204750.747","206818.540"
"MU","1500800","Ananindeua (PA)","6980442.813","7523457.469"
"MU","1500859","Anapu (PA)","351211.106","368918.415"
"MU","1500909","Augusto Corrêa (PA)","332780.337","305846.148"
"MU","1500958","Aurora do Pará (PA)","277393.890","260842.667"
"MU","1501006","Aveiro (PA)","144716.247","118079.456"
"MU","1501105","Bagre (PA)","176250.440","207936.326"
"MU","1501204","Baião (PA)","356595.279","346806.911"
"MU","1501253","Bannach (PA)","76464.937","78143.580"
"MU","1501303","Barcarena (PA)","4818669.203","4737586.928"
"MU","1501402","Belém (PA)","30244780.400","31484849.366"
"MU","1501451","Belterra (PA)","158065.259","159191.592"
"MU","1501501","Benevides (PA)","1394023.023","1589870.359"
"MU","1501576","Bom Jesus do Tocantins (PA)","164637.084","176017.305"
"MU","1501600","Bonito (PA)","136289.588","151796.333"
"MU","1501709","Bragança (PA)","1116022.926","1127832.227"
"MU","1501725","Brasil Novo (PA)","240062.944","251874.474"
"MU","1501758","Brejo Grande do Araguaia (PA)","80573.121","78180.054"
"MU","1501782","Breu Branco (PA)","580409.230","569751.093"
"MU","1501808","Breves (PA)","743333.934","813767.524"
"MU","1501907","Bujaru (PA)","498798.540","453282.591"
"MU","1501956","Cachoeira do Piriá (PA)","188109.994","179439.409"
"MU","1502004","Cachoeira do Arari (PA)","172484.207","183309.613"
"MU","1502103","Cametá (PA)","1183560.829","1136608.087"
"MU","1502152","Canaã dos Carajás (PA)","4089224.540","7106813.893"
"MU","1502202","Capanema (PA)","967492.943","1027476.246"
"MU","1502301","Capitão Poço (PA)","454008.706","499402.002"
"MU","1502400","Castanhal (PA)","3758254.896","3911968.906"
"MU","1502509","Chaves (PA)","181413.943","187473.087"
"MU","1502608","Colares (PA)","79043.907","80885.222"
"MU","1502707","Conceição do Araguaia (PA)","559419.786","552662.056"
"MU","1502756","Concórdia do Pará (PA)","292381.236","293656.611"
"MU","1502764","Cumaru do Norte (PA)","275438.066","289017.265"
"MU","1502772","Curionópolis (PA)","860117.948","820223.222"
"MU","1502806","Curralinho (PA)","630977.847","494536.494"
"MU","1502855","Curuá (PA)","120942.536","124520.370"
"MU","1502905","Curuçá (PA)","276241.407","290817.244"
"MU","1502939","Dom Eliseu (PA)","679845.375","685451.313"
"MU","1502954","Eldorado do Carajás (PA)","359401.869","377700.456"
"MU","1503002","Faro (PA)","56499.118","54936.208"
"MU","1503044","Floresta do Araguaia (PA)","249650.999","340214.954"
"MU","1503077","Garrafão do Norte (PA)","242307.416","218755.218"
"MU","1503093","Goianésia do Pará (PA)","373555.452","339465.802"
"MU","1503101","Gurupá (PA)","230595.818","269764.757"
"MU","1503200","Igarapé-Açu (PA)","304515.625","355098.898"
"MU","1503309","Igarapé-Miri (PA)","376753.490","389801.748"
"MU","1503408","Inhangapi (PA)","114682.282","126156.176"
"MU","1503457","Ipixuna do Pará (PA)","541030.488","519093.333"
"MU","1503507","Irituia (PA)","217124.277","213513.172"
"MU","1503606","Itaituba (PA)","1770962.067","1814617.278"
"MU","1503705","Itupiranga (PA)","560443.379","519057.788"
"MU","1503754","Jacareacanga (PA)","327690.740","461546.570"
"MU","1503804","Jacundá (PA)","489216.724","484234.564"
"MU","1503903","Juruti (PA)","1046267.311","996731.684"
"MU","1504000","Limoeiro do Ajuru (PA)","453594.345","404871.476"
"MU","1504059","Mãe do Rio (PA)","293011.769","293010.512"
"MU","1504109","Magalhães Barata (PA)","75315.641","81749.309"
"MU","1504208","Marabá (PA)","8599353.905","8780799.385"
"MU","1504307","Maracanã (PA)","219106.289","234593.860"
"MU","1504406","Marapanim (PA)","221402.131","234563.972"
"MU","1504422","Marituba (PA)","1788120.570","1901872.327"
"MU","1504455","Medicilândia (PA)","580793.052","614015.884"
"MU","1504505","Melgaço (PA)","169796.047","178160.172"
"MU","1504604","Mocajuba (PA)","306535.842","294713.463"
"MU","1504703","Moju (PA)","892533.795","943781.941"
"MU","1504752","Mojuí dos Campos (PA)","155208.724","153350.560"
"MU","1504802","Monte Alegre (PA)","690212.790","721144.888"
"MU","1504901","Muaná (PA)","259935.053","257499.175"
"MU","1504950","Nova Esperança do Piriá (PA)","215609.332","204613.718"
"MU","1504976","Nova Ipixuna (PA)","136994.537","136342.315"
"MU","1505007","Nova Timboteua (PA)","122890.542","118720.495"
"MU","1505031","Novo Progresso (PA)","608457.925","584493.584"
"MU","1505064","Novo Repartimento (PA)","839945.567","854121.651"
"MU","1505106","Óbidos (PA)","624556.518","641072.544"
"MU","1505205","Oeiras do Pará (PA)","431765.375","388501.804"
"MU","1505304","Oriximiná (PA)","1701190.181","1626708.866"
"MU","1505403","Ourém (PA)","187883.066","169129.897"
"MU","1505437","Ourilândia do Norte (PA)","540547.911","610695.144"
"MU","1505486","Pacajá (PA)","580575.574","595651.777"
"MU","1505494","Palestina do Pará (PA)","66032.231","65475.108"
"MU","1505502","Paragominas (PA)","2950441.515","2647150.498"
"MU","1505536","Parauapebas (PA)","18439321.616","15995450.404"
"MU","1505551","Pau D'Arco (PA)","74387.236","87988.366"
"MU","1505601","Peixe-Boi (PA)","52915.109","55081.775"
"MU","1505635","Piçarra (PA)","200788.077","235171.917"
"MU","1505650","Placas (PA)","255862.379","245465.444"
"MU","1505700","Ponta de Pedras (PA)","212570.591","212066.553"
"MU","1505809","Portel (PA)","648014.575","893633.329"
"MU","1505908","Porto de Moz (PA)","295944.654","309943.929"
"MU","1506005","Prainha (PA)","302520.550","288709.690"
"MU","1506104","Primavera (PA)","149268.895","198977.064"
"MU","1506112","Quatipuru (PA)","90640.484","97497.908"
"MU","1506138","Redenção (PA)","1700740.666","1802562.401"
"MU","1506161","Rio Maria (PA)","476845.866","479451.311"
"MU","1506187","Rondon do Pará (PA)","520484.234","531903.669"
"MU","1506195","Rurópolis (PA)","359161.745","350354.498"
"MU","1506203","Salinópolis (PA)","425034.836","470391.914"
"MU","1506302","Salvaterra (PA)","165814.220","174981.161"
"MU","1506351","Santa Bárbara do Pará (PA)","165776.782","172362.798"
"MU","1506401","Santa Cruz do Arari (PA)","68177.318","68961.988"
"MU","1506500","Santa Izabel do Pará (PA)","718744.957","757959.405"
"MU","1506559","Santa Luzia do Pará (PA)","164123.934","163153.399"
"MU","1506583","Santa Maria das Barreiras (PA)","375754.942","379857.747"
"MU","1506609","Santa Maria do Pará (PA)","310567.738","383892.341"
"MU","1506708","Santana do Araguaia (PA)","803619.323","843573.109"
"MU","1506807","Santarém (PA)","4835995.791","4858970.899"
"MU","1506906","Santarém Novo (PA)","41026.160","45156.834"
"MU","1507003","Santo Antônio do Tauá (PA)","344070.024","367038.750"
"MU","1507102","São Caetano de Odivelas (PA)","131227.189","142310.145"
"MU","1507151","São Domingos do Araguaia (PA)","272450.228","281018.655"
"MU","1507201","São Domingos do Capim (PA)","309229.263","267172.925"
"MU","1507300","São Félix do Xingu (PA)","1392878.257","1395724.124"
"MU","1507409","São Francisco do Pará (PA)","204146.334","234069.553"
"MU","1507458","São Geraldo do Araguaia (PA)","441676.652","490325.880"
"MU","1507466","São João da Ponta (PA)","42206.877","44644.787"
"MU","1507474","São João de Pirabas (PA)","158976.733","164400.112"
"MU","1507508","São João do Araguaia (PA)","116991.995","122342.309"
"MU","1507607","São Miguel do Guamá (PA)","668061.423","676252.989"
"MU","1507706","São Sebastião da Boa Vista (PA)","206892.889","209263.164"
"MU","1507755","Sapucaia (PA)","108012.243","99576.191"
"MU","1507805","Senador José Porfírio (PA)","126968.289","135570.544"
"MU","1507904","Soure (PA)","175016.290","188092.743"
"MU","1507953","Tailândia (PA)","846793.168","897742.610"
"MU","1507961","Terra Alta (PA)","71819.373","70408.316"
"MU","1507979","Terra Santa (PA)","527425.670","510421.283"
"MU","1508001","Tomé-Açu (PA)","639411.888","667853.669"
"MU","1508035","Tracuateua (PA)","248330.927","215701.304"
"MU","1508050","Trairão (PA)","329448.120","294127.220"
"MU","1508084","Tucumã (PA)","757450.016","778683.705"
"MU","1508100","Tucuruí (PA)","6461837.655","7481954.333"
"MU","1508126","Ulianópolis (PA)","1245237.622","1330185.256"
"MU","1508159","Uruará (PA)","511968.622","545609.672"
"MU","1508209","Vigia (PA)","373305.282","382340.348"
"MU","1508308","Viseu (PA)","613446.371","486663.662"
"MU","1508357","Vitória do Xingu (PA)","3088936.605","4375711.214"
"MU","1508407","Xinguara (PA)","1218113.954","1226527.461"
"MU","1600055","Serra do Navio (AP)","70830.820","75189.997"
"MU","1600105","Amapá (AP)","166941.477","137265.167"
"MU","1600154","Pedra Branca do Amapari (AP)","281064.018","311095.677"
"MU","1600204","Calçoene (AP)","146931.507","164205.123"
"MU","1600212","Cutias (AP)","72796.183","76196.756"
"MU","1600238","Ferreira Gomes (AP)","500102.602","533411.620"
"MU","1600253","Itaubal (AP)","65752.003","69178.362"
"MU","1600279","Laranjal do Jari (AP)","850713.275","902523.206"
"MU","1600303","Macapá (AP)","9996020.895","10949648.924"
"MU","1600402","Mazagão (AP)","244724.710","258120.768"
"MU","1600501","Oiapoque (AP)","394530.780","426122.651"
"MU","1600535","Porto Grande (AP)","332009.341","340182.993"
"MU","1600550","Pracuúba (AP)","62942.421","67289.498"
"MU","1600600","Santana (AP)","1910085.549","2070103.895"
"MU","1600709","Tartarugalzinho (AP)","202009.953","225271.548"
"MU","1600808","Vitória do Jari (AP)","184452.792","189400.482"
"MU","1700251","Abreulândia (TO)","56478.561","52402.193"
"MU","1700301","Aguiarnópolis (TO)","127038.171","124903.421"
"MU","1700350","Aliança do Tocantins (TO)","116125.892","103534.840"
"MU","1700400","Almas (TO)","151375.676","151995.035"
"MU","1700707","Alvorada (TO)","331677.084","271677.185"
"MU","1701002","Ananás (TO)","124893.668","131056.669"
"MU","1701051","Angico (TO)","35480.413","36054.981"
"MU","1701101","Aparecida do Rio Negro (TO)","91452.078","102279.755"
"MU","1701309","Aragominas (TO)","63242.678","64347.881"
"MU","1701903","Araguacema (TO)","133137.768","126453.090"
"MU","1702000","Araguaçu (TO)","186488.242","192400.613"
"MU","1702109","Araguaína (TO)","4140527.738","4387503.319"
"MU","1702158","Araguanã (TO)","64696.354","66015.259"
"MU","1702208","Araguatins (TO)","390779.225","426291.952"
"MU","1702307","Arapoema (TO)","99454.255","288624.461"
"MU","1702406","Arraias (TO)","159681.510","185519.909"
"MU","1702554","Augustinópolis (TO)","235998.142","253786.071"
"MU","1702703","Aurora do Tocantins (TO)","40971.739","42070.710"
"MU","1702901","Axixá do Tocantins (TO)","103841.701","120576.533"
"MU","1703008","Babaçulândia (TO)","102828.557","105415.156"
"MU","1703057","Bandeirantes do Tocantins (TO)","68676.947","120313.003"
"MU","1703073","Barra do Ouro (TO)","46305.719","56131.443"
"MU","1703107","Barrolândia (TO)","84020.205","93732.053"
"MU","1703206","Bernardo Sayão (TO)","77635.784","74747.076"
"MU","1703305","Bom Jesus do Tocantins (TO)","63217.226","74015.731"
"MU","1703602","Brasilândia do Tocantins (TO)","38491.099","41055.327"
"MU","1703701","Brejinho de Nazaré (TO)","154448.586","193607.855"
"MU","1703800","Buriti do Tocantins (TO)","94761.678","97767.477"
"MU","1703826","Cachoeirinha (TO)","25904.337","27213.282"
"MU","1703842","Campos Lindos (TO)","290585.032","306489.513"
"MU","1703867","Cariri do Tocantins (TO)","345107.680","348872.675"
"MU","1703883","Carmolândia (TO)","35771.382","36914.929"
"MU","1703891","Carrasco Bonito (TO)","37415.452","39834.813"
"MU","1703909","Caseara (TO)","132681.117","158693.788"
"MU","1704105","Centenário (TO)","33009.055","34299.962"
"MU","1704600","Chapada de Areia (TO)","26019.163","23914.861"
"MU","1705102","Chapada da Natividade (TO)","66294.046","64179.906"
"MU","1705508","Colinas do Tocantins (TO)","688212.041","726144.221"
"MU","1705557","Combinado (TO)","66064.753","67451.443"
"MU","1705607","Conceição do Tocantins (TO)","49724.014","52034.609"
"MU","1706001","Couto Magalhães (TO)","95824.302","116360.321"
"MU","1706100","Cristalândia (TO)","106139.031","109929.256"
"MU","1706258","Crixás do Tocantins (TO)","41085.470","43539.375"
"MU","1706506","Darcinópolis (TO)","135746.141","186127.767"
"MU","1707009","Dianópolis (TO)","305971.414","347680.692"
"MU","1707108","Divinópolis do Tocantins (TO)","120257.852","123060.557"
"MU","1707207","Dois Irmãos do Tocantins (TO)","102384.298","102496.584"
"MU","1707306","Dueré (TO)","120168.944","115317.998"
"MU","1707405","Esperantina (TO)","85646.671","89104.956"
"MU","1707553","Fátima (TO)","59338.809","67322.762"
"MU","1707652","Figueirópolis (TO)","157256.026","170308.239"
"MU","1707702","Filadélfia (TO)","98161.002","101745.023"
"MU","1708205","Formoso do Araguaia (TO)","396152.606","349562.248"
"MU","1708254","Fortaleza do Tabocão (TO)","151010.902","187372.008"
"MU","1708304","Goianorte (TO)","79242.069","75365.415"
"MU","1709005","Goiatins (TO)","150013.767","161618.185"
"MU","1709302","Guaraí (TO)","603160.551","651471.886"
"MU","1709500","Gurupi (TO)","2236414.856","2202619.836"
"MU","1709807","Ipueiras (TO)","36669.504","30353.793"
"MU","1710508","Itacajá (TO)","98357.782","99453.549"
"MU","1710706","Itaguatins (TO)","59446.383","64203.030"
"MU","1710904","Itapiratins (TO)","70086.711","71019.504"
"MU","1711100","Itaporã do Tocantins (TO)","43249.637","43126.169"
"MU","1711506","Jaú do Tocantins (TO)","58413.622","59958.542"
"MU","1711803","Juarina (TO)","35634.526","30531.725"
"MU","1711902","Lagoa da Confusão (TO)","527537.203","483652.746"
"MU","1711951","Lagoa do Tocantins (TO)","38617.079","39769.108"
"MU","1712009","Lajeado (TO)","64209.474","67656.557"
"MU","1712157","Lavandeira (TO)","23879.386","23723.862"
"MU","1712405","Lizarda (TO)","34201.663","42461.340"
"MU","1712454","Luzinópolis (TO)","34212.053","33685.600"
"MU","1712504","Marianópolis do Tocantins (TO)","120348.677","126362.492"
"MU","1712702","Mateiros (TO)","126267.228","135482.422"
"MU","1712801","Maurilândia do Tocantins (TO)","33224.372","36631.453"
"MU","1713205","Miracema do Tocantins (TO)","526569.174","526299.773"
"MU","1713304","Miranorte (TO)","227744.025","262797.712"
"MU","1713601","Monte do Carmo (TO)","159483.637","178179.422"
"MU","1713700","Monte Santo do Tocantins (TO)","36573.228","35871.896"
"MU","1713809","Palmeiras do Tocantins (TO)","64568.702","68754.151"
"MU","1713957","Muricilândia (TO)","43099.558","43003.231"
